title,artist,artist nationality,sitter,is_self_portrait,sitter gender,size,date,thumbnail,mediaURLs
James Wilson,"Jean Pierre Henri Elouis (b. Caen, France 1755; d. Caen, France 1840)",French,James Wilson,FALSE,Male,Miniature,ca. 1792,"https://ids.si.edu/ids/iiif/SAAM-1952.3.3_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1952.3.3_1]
Jane Gray Wall,"Joseph Francis Burrell (b. English, born 1770; d. after 1854)",English,Jane Gray Wall,FALSE,Female,Miniature,ca. 1795,"https://ids.si.edu/ids/iiif/SAAM-1999.87.3_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.87.3_1]
Jane Stone,"Benjamin Trott (b. Boston, MA 1770; d. Washington, DC 1843)",American,Jane Stone,FALSE,Female,Miniature,ca. 1805,"https://ids.si.edu/ids/iiif/SAAM-1934.11.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1934.11.1_1]
Jeremiah Williams,"Christian Gullager (b. Copenhagen, Denmark 1759; d. Philadelphia, PA 1826)",Danish,Jeremiah Williams,FALSE,Male,Regular,ca. 1789-1790,"https://ids.si.edu/ids/iiif/SAAM-1977.101.1_2/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1977.101.1_2]
Joel Barlow,"William Dunlap (b. 18 Feb 1766; d, 28 Sep 1839)",American,Joel Barlow (b. 24 Mar 1754; d. 26 Dec 1812),FALSE,Male,Regular,1806,"https://ids.si.edu/ids/iiif/NPG-NPG_76_30/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_76_30]
Joel Barlow,Robert Fulton (b. 14 Nov 1765; d. 25 Feb 1815),American,Joel Barlow (b. 24 Mar 1754; d. 26 Dec 1812),FALSE,Male,Regular,1805,"https://ids.si.edu/ids/iiif/NPG-NPG_83_249/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_83_249]
John Adams,John Trumbull (b. 6 Jun 1756; d. 10 Nov 1843),American,John Adams (b. 30 Oct 1735; d. 4 Jul 1826),FALSE,Male,Regular,1793,"https://ids.si.edu/ids/iiif/NPG-NPG_75_52/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_75_52]
John Dallas,,,John Dallas,FALSE,Male,Miniature,ca. 1801,"https://ids.si.edu/ids/iiif/SAAM-1999.27.80_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.80_1]
John Ewing,Charles Willson Peale (b. 15 Apr 1741; d. 22 Feb 1827),American,John Ewing (b. 1732; d. 1802),FALSE,Male,Regular,1788,"https://ids.si.edu/ids/iiif/NPG-NPG_2001_15/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2001_15]
John Howard Payne,John Wesley Jarvis (b. 1780; d. 14 Jan 1840),American,John Howard Payne (b. 9 Jun 1791; d. 10 Apr 1852),FALSE,Male,Regular,1812,"https://ids.si.edu/ids/iiif/NPG-NPG_2019_28-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2019_28-000001]
John Jauncey Ketchum,"Walter Robertson (b. Dublin, Ireland ca. 1750;d. Fatehpur, India 1801/02)",Irish,John Jauncey Ketchum,FALSE,Male,Miniature,ca. 1795,"https://ids.si.edu/ids/iiif/SAAM-1986.64.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1986.64.1_1]
John Laurens,Charles Willson Peale (b. 15 Apr 1741; d. 22 Feb 1827),American,John Laurens (b. 28 Oct 1754; d. 27 Aug 1782),FALSE,Male,Regular,1780,"https://ids.si.edu/ids/iiif/NPG-NPG_2009_111/full/250,/0/default.jpg","[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2009_111, https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2009_111reverse]"
John Marshall,Cephas Thompson (b. 1 Jul 1775; d. 6 Nov 1856),American,John Marshall (b. 24 Sep 1755; d. 6 Jul 1835),FALSE,Male,Regular,1809-10,"https://ids.si.edu/ids/iiif/NPG-NPG_2010_48_ext/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2010_48_ext]
John Paul Jones,,,John Paul Jones (b. 6 Jul 1747; d. 18 Jul 1792),FALSE,Male,Regular,1780,"https://ids.si.edu/ids/iiif/NPG-NPG_73_10Jones_int/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_73_10Jones_int]
John Quincy Adams,Pieter Van Huffel (b. 1769; d. 1844),Belgian,John Quincy Adams (b. 11 Jul 1767; d. 23 Feb 1848),FALSE,Male,Regular,1815,"https://ids.si.edu/ids/iiif/NPG-NPG_70_12Adams-000002/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_70_12Adams-000002]
John Quincy Adams,,,John Quincy Adams (b. 11 Jul 1767; d. 23 Feb 1848),FALSE,Male,Miniature,early 19th century,"https://ids.si.edu/ids/iiif/SAAM-1999.27.58_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.58_1]
John Randolph,John Wesley Jarvis (b. 1780; d. 14 Jan 1840),American,John Randolph (b. 2 Jun 1773; d. 24 May 1833),FALSE,Male,Regular,1811,"https://ids.si.edu/ids/iiif/NPG-NPG_70_246Randolph_d1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_70_246Randolph_d1]
John Rutledge,,,John Rutledge (b. 1739; d. 18 Jul 1800),FALSE,Male,Regular,ca. 1791,"https://ids.si.edu/ids/iiif/NPG-9700390A_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-9700390A_1]
John Sergeant,Thomas Sully (b. 19 Jun 1783; d. 5 Nov 1872),"American, English",John Sergeant (b. 5 Dec 1779; d. 25 Nov 1852),FALSE,Male,Regular,1811,"https://ids.si.edu/ids/iiif/NPG-8400358A_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-8400358A_1]
John Singleton Copley,John Singleton Copley (b. 3 Jul 1738; d. 9 Sep 1815),American,John Singleton Copley (b. 3 Jul 1738; d. 9 Sep 1815),TRUE,Male,Regular,ca. 1780-84,"https://ids.si.edu/ids/iiif/NPG-NPG_77_22-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_77_22-000001]
John Swanwick,"Matthew Pratt (b. Philadelphia, PA 1734; d. Philadelphia, PA 1805)",American,John Swanwick,FALSE,Male,Regular,ca. 1800,"https://ids.si.edu/ids/iiif/SAAM-2010.16.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-2010.16.2_1]
John Tower,"James Peale (b. Chestertown, MD 1749; d. Philadelphia, PA 1831)",American,John Tower,FALSE,Male,Miniature,1806,"https://ids.si.edu/ids/iiif/SAAM-1999.27.35_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.35_1]
John Winthrop,,,John Winthrop (b. 1587/8; d. 1649),FALSE,Male,Regular,"ca. 1800, after early 17th century original","https://ids.si.edu/ids/iiif/NPG-NPG_2004_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2004_1]
John Witherspoon,Rembrandt Peale (b. 22 Feb 1778; 3 Oct 1860),American,John Witherspoon (b. 5 Feb 1723; d. 15 Nov 1794),FALSE,Male,Regular,1794,"https://ids.si.edu/ids/iiif/NPG-NPG_91_81Witherspoon_d1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_91_81Witherspoon_d1]
Jonas Phillips,,,Jonas Phillips (b. 1736; d. 29 Jan 1803),FALSE,Male,Regular,ca. 1790,"https://ids.si.edu/ids/iiif/NPG-NPG_97_189-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_97_189-000001]
Joseph Ball,"Christian Gullager (b. Copenhagen, Denmark 1759; d. Philadelphia, PA 1826)",Danish,Joseph Ball,FALSE,Male,Regular,1798 -1805,"https://ids.si.edu/ids/iiif/SAAM-2010.16.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-2010.16.1_1]
Joseph Curwen,"Edward Greene Malbone (b. Newport, RI 1777; d. Savannah, GA 1807)",American,Joseph Curwen,FALSE,Male,Miniature,1804,"https://ids.si.edu/ids/iiif/SAAM-1984.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1984.2_1]
Joseph Fox,,,Joseph Fox,FALSE,Male,Miniature,1790s,"https://ids.si.edu/ids/iiif/SAAM-1999.27.68_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.68_1]
Joseph Galloway,,,Joseph Galloway (b. 1731; d. 29 Aug 1803),FALSE,Male,Regular,ca. 1775,"https://ids.si.edu/ids/iiif/NPG-NPG_92_33_int-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_92_33_int-000001]
Joseph Lavoir de Repiton,Francis Rabineau (active 1791-1808),American,Joseph Repiton,FALSE,Male,Miniature,ca. 1798,"https://ids.si.edu/ids/iiif/SAAM-1980.126.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1980.126.2_1]
Josiah Hewes Anthony,"James Peale (b. Chestertown, MD 1749; d. Philadelphia, PA 1831)",American,Josiah Hewes Anthony,FALSE,Male,Miniature,1790,"https://ids.si.edu/ids/iiif/SAAM-1952.12.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1952.12.2_1]
Juliana Westray Wood,Rembrandt Peale (b. 22 Feb 1778; d. 3 Oct 1860),American,Juliana Westray Wood (b. 1778; d. 1838),FALSE,Female,Regular,ca. 1811,"https://ids.si.edu/ids/iiif/NPG-NPG_81_120Wood_d1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_81_120Wood_d1]
Lawrence Reid Yates,"Walter Robertson (b. Dublin, Ireland ca. 1750; d. Fatehpur, India 1801/02)",Irish,Lawrence Reid Yates,FALSE,Male,Miniature,ca. 1794,"https://ids.si.edu/ids/iiif/SAAM-1956.1.3_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1956.1.3_1]
Le Duc de Liancourt,"Charles Willson Peale (b. Queen Anne's County, MD 1741; d. Philadelphia, PA 1827)",American,Duc de Liancourt,FALSE,Male,Miniature,ca.1794-1797,"https://ids.si.edu/ids/iiif/SAAM-1974.87_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1974.87_1]
"Louis-Guillaume Otto, comte de Mosloy","Charles Willson Peale (b. Queen Anne's County, MD 1741; d. Philadelphia, PA 1827)",American,Comte de Mosloy Louis Guillaume Otto,FALSE,Male,Miniature,ca. 1780,"https://ids.si.edu/ids/iiif/SAAM-1999.87.6_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.87.6_1]
Major-General Anthony Wayne,"James Peale (b. Chestertown, MD 1749; d. Philadelphia, PA 1831)",American,Anthony Wayne,FALSE,Male,Miniature,ca. 1795,"https://ids.si.edu/ids/iiif/SAAM-1999.27.41_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.41_1]
Margaret Spear Smith,Gilbert Stuart (b. 3 Dec 1755; 9 Jul 1828),American,Margaret Spear Smith (b. 1758; d. 1842),FALSE,Female,Regular,ca. 1800,"https://ids.si.edu/ids/iiif/NPG-S_NPG_66_64/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_66_64]
Marguerite Repiton (Mrs. Joseph),Francis Rabineau (active 1791-1808),French,"Mrs. Joseph Repiton, Marguerite Repiton",FALSE,Female,Miniature,ca. 1798,"https://ids.si.edu/ids/iiif/SAAM-1980.126.3_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1980.126.3_1]
Mary Abigail Willing Coale,"Thomas Sully (b. Horncastle, England 1783; d. Philadelphia, PA 1872)","American, English",Mary Abigail Willing Coale,FALSE,Female,Regular,1809,"https://ids.si.edu/ids/iiif/SAAM-1926.6.4_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1926.6.4_1]
Mary Thayer Holden,Thomas Young (b. 1765; d. 1821),American,Mary Thayer Holden,FALSE,Female,Miniature,ca. 1805,"https://ids.si.edu/ids/iiif/SAAM-1950.4.3_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.3_1]
Mary Walsh McBlair,,,Mary Walsh McBlair,FALSE,Female,Miniature,ca. 1801-1872,"https://ids.si.edu/ids/iiif/SAAM-1999.27.47_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.47_1]
Master Peters,"Joseph Wood (b. Clarkstown, NY 1778; d. Washington, DC 1830)",American,Master Peters,FALSE,Male,Miniature,1804,"https://ids.si.edu/ids/iiif/SAAM-1981.32_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1981.32_1]
Matilda Davis Williams,"Christian Gullager (b. Copenhagen, Denmark 1759; d. Philadelphia, PA 1826)",Danish,Matilda Davis Williams,FALSE,Female,Regular,ca. 1791-1792,"https://ids.si.edu/ids/iiif/SAAM-1977.101.2_2/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1977.101.2_2]
Member of the Mayfield Family,"George Place, Irish (b. Dublin, Ireland 1760 or 1775; d. Lucknow, India 1805 or 1809)",Irish,Mayfield,FALSE,Male,Miniature,ca. 1805,"https://ids.si.edu/ids/iiif/SAAM-1953.7.4_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1953.7.4_1]
Member of the Washington Family,"James Peale (b. Chestertown, MD 1749; d. Philadelphia, PA 1831)",American,,FALSE,Male,Miniature,ca. 1795,"https://ids.si.edu/ids/iiif/SAAM-1950.10.2_1-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1950.10.2_1-000001]
Member of the Yates Family,,,Yates,FALSE,Male,Miniature,ca. 1780,"https://ids.si.edu/ids/iiif/SAAM-1956.1.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1956.1.1_1]
Miriam Etting Myers,"Benjamin Trott (b. Boston, MA ca. 1770; d. Washington, DC 1843)",American,Miriam Etting Myers,FALSE,Female,Miniature,ca. 1805,"https://ids.si.edu/ids/iiif/SAAM-1959.5.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1959.5.1_1]
Miss Kirkpatrick,"George Romney (b. Dalton-le-Furness, England 1734 d. Kendal)",English,Miss Kirkpatrick,FALSE,Female,Regular,ca. 1772,"https://ids.si.edu/ids/iiif/SAAM-1906.9.17_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1906.9.17_1]
Miss Lettie Stanley,,,Lettie Stanley,FALSE,Female,Miniature,ca. 1810,"https://ids.si.edu/ids/iiif/SAAM-1950.4.29_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.29_1]
Mr. Baker,,,Mr. Baker,FALSE,Male,Miniature,ca. 1800-1814,"https://ids.si.edu/ids/iiif/SAAM-1999.27.18_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.18_1]
Mr. John Corlis,"Edward Greene Malbone (b. Newport, RI 1777 d. Savannah)",,John Corlis,FALSE,Male,Miniature,1795,"https://ids.si.edu/ids/iiif/SAAM-1980.29.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1980.29.1_1]
Mr. Lawrence of Boston,"Edward Greene Malbone (b. Newport, RI 1777 d. Savannah)",,Mr. Lawrence,FALSE,Male,Miniature,1803,"https://ids.si.edu/ids/iiif/SAAM-1929.6.71_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1929.6.71_1]
Mr. Nichol,"John Wesley Jarvis (b. South Shields, England 1780 d. New York City 1840)",English,Mr. Nichol,FALSE,Male,Miniature,1809,"https://ids.si.edu/ids/iiif/SAAM-1942.2.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1942.2.1_1]
Mrs. Abraham Van Santvoort of New York,"Ezra Ames (b. Framingham, MA 1768 d. Albany)",,Mrs. Abraham Van Santvoort,FALSE,Female,Miniature,ca. 1805,"https://ids.si.edu/ids/iiif/SAAM-1950.4.18_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.18_1]
Mrs. Alexander Rose (Margaret Smith),"Pierre Henri (b. Paris, France ca. 1760 d. NY 1822)",French,"Mrs. Alexander Rose, Margaret Smith",FALSE,Female,Miniature,ca. 1788,"https://ids.si.edu/ids/iiif/SAAM-1933.7.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1933.7.1_1]
Mrs. Baker,,,Mrs. Baker,FALSE,Female,Miniature,ca. 1800-1814,"https://ids.si.edu/ids/iiif/SAAM-1999.27.19_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.19_1]
Mrs. Cornelius Baldwin (Mary Briscoe),"Philippe Abraham Peticolas (b. Meziers, France 1760 d. Petersburg)",French,Mary Briscoe Baldwin,FALSE,Female,Miniature,1797,"https://ids.si.edu/ids/iiif/SAAM-1943.3.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1943.3.2_1]
Mrs. Elizabeth Pollock Hartigan,"Walter Robertson (b. Dublin, Ireland ca. 1750 d. Fatehpur)",Irish,Mrs. Elizabeth Pollock Hartigan,FALSE,Female,Miniature,1795,"https://ids.si.edu/ids/iiif/SAAM-1956.1.4_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1956.1.4_1]
Mrs. Fenno Knight (née du Clois),,French,Mrs. Fenno Knight,FALSE,Female,Miniature,1799,"https://ids.si.edu/ids/iiif/SAAM-1931.5.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1931.5.1_1]
Mrs. George Willig,"Philippe Abraham Peticolas (b. Meziers, France 1760 d. Petersburg)",French,Mrs. George Willig,FALSE,Female,Miniature,1804,"https://ids.si.edu/ids/iiif/SAAM-1959.9.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1959.9.2_1]
Mrs. James Smith and Grandson,"Charles Willson Peale (b. Queen Anne's County, MD 1741 d. Philadelphia)",American,"Mrs. James Smith, Campbell Smith",FALSE,Female,Regular,1776,"https://ids.si.edu/ids/iiif/SAAM-1980.93_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1980.93_1]
Mrs. John Corlis (Susannah Condé Russell),"Edward Greene Malbone (b. Newport, RI 1777 d. Savannah)",American,Mrs. John Corlis,FALSE,Female,Miniature,1795,"https://ids.si.edu/ids/iiif/SAAM-1980.29.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1980.29.2_1]
Mrs. John McCluney,"James Peale (b. Chestertown, MD 1749 d. Philadelphia)",American,Mrs. John Mc Cluney,FALSE,Female,Miniature,ca. 1795,"https://ids.si.edu/ids/iiif/SAAM-1950.12.3_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1950.12.3_1]
Mrs. Joseph Manigault (Charlotte Drayton),"Edward Greene Malbone (b. Newport, RI 1777 d. Savannah)",American,"Mrs. Joseph Manigault, Charlotte Drayton",FALSE,Female,Miniature,ca. 1801,"https://ids.si.edu/ids/iiif/SAAM-1970.296_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1970.296_1]
Mrs. Joseph Wright,"Ralph Earl (b. Worcester County, MA 1751 d. Bolton)",American,"Mrs. Joseph Wright, Hannah Wright",FALSE,Female,Regular,1792,"https://ids.si.edu/ids/iiif/SAAM-1975.49.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1975.49.2_1]
Mrs. Philip John Schuyler (Catherine van Rensselaer),"Walter Robertson (b. Dublin, Ireland ca. 1750 d. Fatehpur)",Irish,Mrs. Philip van Rensselaer Schuyler,FALSE,Female,Miniature,ca. 1795,"https://ids.si.edu/ids/iiif/SAAM-1999.27.43_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.43_1]
Mrs. Richard Alsop,"Ralph Earl (b. Worcester County, MA 1751 d. Bolton)",American,"Mary Alsop, Mrs. Richard Alsop",FALSE,Female,Regular,1792,"https://ids.si.edu/ids/iiif/SAAM-1975.49.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1975.49.1_1]
Mrs. Richard Yates,,,"Mrs. Richard Yates, Catherine Brass",FALSE,Female,Miniature,ca. 1790,"https://ids.si.edu/ids/iiif/SAAM-1956.1.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1956.1.2_1]
Mrs. Thomas Wilson,"Charles Robertson (b. Dublin, Ireland 1759 d. Dublin)",Irish,Mrs. Thomas Wilson,FALSE,Female,Miniature,ca. 1800,"https://ids.si.edu/ids/iiif/SAAM-1944.7.5_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1944.7.5_1]
Mrs. William Boswell Lamb (Margaret Stuart Kerr),,,"Margaret Lamb, Mrs. R. William Lamb",FALSE,Female,Miniature,ca. 1795,"https://ids.si.edu/ids/iiif/SAAM-1980.126.5_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1980.126.5_1]
Patience Lovell Wright,,,Patience Lovell Wright (b. 1725; d. 23 Mar 1786),FALSE,Female,Regular,ca. 1782,"https://ids.si.edu/ids/iiif/NPG-8600336A_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-8600336A_1]
Peter Boylston Adams?,"John Singleton Copley (b. Boston, MA 1738; d. 1815)",American,Peter Boylston Adams,FALSE,Male,Miniature,ca. 1765-1770,"https://ids.si.edu/ids/iiif/SAAM-1999.27.7_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.7_1]
Portrait of Adelia Ellender,"Joshua Johnson (b. Baltimore County, MD ca.1763; d. Ann Arundel County, MD ca. 1825)",American,Adelia Ellender,FALSE,Female,Regular,ca. 1803-1805,"https://ids.si.edu/ids/iiif/SAAM-1983.95.55_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1983.95.55_1]
Portrait of Edward Shippen Burd of Philadelphia,"Rembrandt Peale (b. PA 1778; d. Philadelphia, PA 1860)",American,Edward Shippen Burd,FALSE,Male,Regular,ca. 1806-1808,"https://ids.si.edu/ids/iiif/SAAM-1971.3_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1971.3_1]
Portrait of General Giles,"Joseph Wright (b. Bordentown, NJ 1756 d. Philadelphia)",American,General Giles,FALSE,Male,Regular,ca. 1785,"https://ids.si.edu/ids/iiif/SAAM-1975.75_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1975.75_1]
Portrait of Mrs. Barbara Baker Murphy (Wife of Sea Captain),"Joshua Johnson (b. Baltimore County, MD ca.1763; d. Ann Arundel County, MD ca. 1825)",American,Barbara Baker Murphy,FALSE,Male,Regular,ca. 1810,"https://ids.si.edu/ids/iiif/SAAM-1983.95.56_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1983.95.56_1]
Portrait of Mrs. Robert Kermit,,,Mrs. Robert Kermit,FALSE,Female,Regular,ca. 1790,"https://ids.si.edu/ids/iiif/SAAM-1970.76_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1970.76_1]
Portrait of Sea Captain John Murphy,"Joshua Johnson (b. Baltimore County, MD ca.1763; d. Ann Arundel County, MD ca. 1825)",American,John Murphy,FALSE,Male,Regular,ca. 1810,"https://ids.si.edu/ids/iiif/SAAM-1983.95.57_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1983.95.57_1]
Portrait of a Baby Boy,,,,FALSE,Male,Miniature,ca. 1805,"https://ids.si.edu/ids/iiif/SAAM-1999.27.59.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.59.2_1]
Portrait of a Boy,,Italian,,FALSE,Male,Regular,ca. 1800,"https://ids.si.edu/ids/iiif/SAAM-1956.11.41_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1956.11.41_1]
Portrait of a Child,"Raphaelle Peale (b. Annapolis, MD 1774 d. Philadelphia)",American,,FALSE,Female,Miniature,ca. 1800,"https://ids.si.edu/ids/iiif/SAAM-1963.9.5_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1963.9.5_1]
Portrait of a Connecticut Clockmaker,,,,FALSE,Male,Regular,ca. 1800,"https://ids.si.edu/ids/iiif/SAAM-1967.136.2_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1967.136.2_1]
Portrait of a Connecticut Clockmaker's Wife,,,,FALSE,Female,Regular,ca. 1800,"https://ids.si.edu/ids/iiif/SAAM-1967.136.3_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1967.136.3_1]
Portrait of a Gentleman,,English,,FALSE,Male,Regular,ca. 1800,"https://ids.si.edu/ids/iiif/SAAM-1956.11.42_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1956.11.42_1]
Portrait of a Gentleman,,,,FALSE,Male,Miniature,ca. 1780-1790,"https://ids.si.edu/ids/iiif/SAAM-1999.27.34_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.34_1]
Portrait of a Gentleman,,,,FALSE,Male,Miniature,ca. 1805,"https://ids.si.edu/ids/iiif/SAAM-1979.152_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1979.152_1]
Portrait of a Gentleman,"Raphaelle Peale (b. Annapolis, MD 1774 d. Philadelphia)",American,,FALSE,Male,Miniature,ca. 1805,"https://ids.si.edu/ids/iiif/SAAM-1950.4.6_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.6_1]
Portrait of a Gentleman,"James Peale (b. Chestertown, MD 1749 d. Philadelphia)",American,,FALSE,Male,Miniature,1800,"https://ids.si.edu/ids/iiif/SAAM-1999.27.37_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.37_1]
Portrait of a Gentleman,"Henry Benbridge (b. Philadelphia, PA 1743 d. Philadelphia)",American,,FALSE,Male,Miniature,ca. 1795,"https://ids.si.edu/ids/iiif/SAAM-1999.27.45_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.45_1]
Portrait of a Gentleman,,,,FALSE,Male,Miniature,ca. 1790,"https://ids.si.edu/ids/iiif/SAAM-1975.5_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1975.5_1]
